env,lag,acf_p50,acf_p25,acf_p75,pacf_p50,bo_cap_pct
E1,0,1.0,1.0,1.0,,1.427213
E1,1,0.667438,0.32279,0.918562,0.667471,1.427833
E1,2,0.539508,0.231299,0.867179,0.071086,1.428453
E1,3,0.454744,0.1537,0.82835,0.126217,1.429074
E1,4,0.407749,0.174002,0.800314,0.073553,1.429695
E1,5,0.392122,0.116904,0.781092,0.063437,1.430317
E1,6,0.407374,0.132194,0.772716,0.046498,1.43094
E1,7,0.401685,0.1123,0.742985,0.032559,1.431563
E1,8,0.414081,0.123207,0.727318,0.041293,1.432186
E1,9,0.398662,0.119881,0.698386,0.029782,1.43281
E1,10,0.400499,0.113565,0.696177,0.024897,1.433435
E1,11,0.383049,0.098803,0.67113,0.028846,1.43406
E1,12,0.445865,0.169142,0.691983,0.047794,1.434686
E1,13,0.34275,0.100593,0.645384,-0.003607,1.435312
E1,14,0.338845,0.094451,0.644645,0.013956,1.435939
E1,15,0.321383,0.065293,0.627525,0.004096,1.436566
E1,16,0.318948,0.105738,0.623965,0.008953,1.437194
E1,17,0.295775,0.068523,0.605645,0.000161,1.437822
E1,18,0.324491,0.083623,0.6086,0.019391,1.438451
E1,19,0.295518,0.060226,0.584797,0.002745,1.439081
E1,20,0.304471,0.07506,0.587826,0.010995,1.439711
E1,21,0.288378,0.05736,0.574167,0.005414,1.440341
E1,22,0.300707,0.085608,0.572253,0.014353,1.440973
E1,23,0.279962,0.062355,0.556588,0.007063,1.441604
E1,24,0.355081,0.123415,0.572523,0.027546,1.442237
E1,25,0.246938,0.068524,0.539695,-0.011666,1.442869
E1,26,0.257351,0.083085,0.54025,-0.002233,1.443503
E1,27,0.241498,0.04998,0.517057,-0.000984,1.444137
E1,28,0.246216,0.050987,0.515531,-0.000153,1.444771
E1,29,0.229893,0.035588,0.49656,-0.004248,1.445406
E1,30,0.254256,0.054401,0.504357,0.005145,1.446042
E1,31,0.230735,0.031584,0.482829,-0.000918,1.446678
E1,32,0.245482,0.068498,0.484053,0.003718,1.447315
E1,33,0.222488,0.033311,0.469668,0.000104,1.447952
E1,34,0.227224,0.054704,0.468533,0.002266,1.44859
E1,35,0.205198,0.043842,0.455495,0.007818,1.449228
E1,36,0.298891,0.091827,0.475828,0.025349,1.449867
E1,37,0.194935,0.04158,0.444768,-0.01106,1.450507
E1,38,0.211311,0.042141,0.440368,-0.004988,1.451147
E1,39,0.193587,0.036504,0.428729,-0.002296,1.451788
E1,40,0.209863,0.049166,0.429117,-0.001984,1.452429
E1,41,0.183381,0.023862,0.414181,-0.00751,1.453071
E1,42,0.20457,0.034418,0.414864,-0.000818,1.453713
E1,43,0.173161,0.016489,0.397665,-0.004673,1.454356
E1,44,0.182375,0.022935,0.391771,-0.002007,1.455
E1,45,0.169198,0.017697,0.380907,-0.001143,1.455644
E1,46,0.179612,0.037706,0.379548,0.001886,1.456288
E1,47,0.172963,0.018997,0.377624,0.004215,1.456934
E1,48,0.272708,0.06053,0.414115,0.02036,1.457579
E1,49,0.168123,0.027778,0.372483,,1.458226
E1,50,0.179454,0.032011,0.370553,,1.458873
E1,51,0.156312,0.017702,0.357326,,1.45952
E1,52,0.167891,0.028616,0.352397,,1.460168
E1,53,0.143149,0.01641,0.335221,,1.460817
E1,54,0.166254,0.025073,0.342387,,1.461466
E1,55,0.136541,0.006812,0.324293,,1.462116
E1,56,0.15576,0.010731,0.326428,,1.462767
E1,57,0.14528,0.004505,0.315325,,1.463418
E1,58,0.150877,0.017923,0.315453,,1.464069
E1,59,0.131466,0.006691,0.307342,,1.464721
E1,60,0.212372,0.043663,0.352993,,1.465374
E1,61,0.124922,0.005554,0.301937,,1.466027
E1,62,0.139052,0.010639,0.304838,,1.466681
E1,63,0.124974,0.001565,0.291554,,1.467336
E1,64,0.131448,0.01156,0.29686,,1.467991
E1,65,0.104173,-0.000596,0.282592,,1.468646
E1,66,0.125774,0.012468,0.299366,,1.469303
E1,67,0.108789,0.003391,0.281075,,1.469959
E1,68,0.115197,0.000625,0.282602,,1.470617
E1,69,0.104037,0.003274,0.272297,,1.471275
E1,70,0.110896,0.002018,0.274186,,1.471933
E1,71,0.096807,0.000588,0.271757,,1.472593
E1,72,0.181435,0.033865,0.312234,,1.473252
E1,73,0.094327,-0.00227,0.263699,,1.473913
E1,74,0.098178,-0.003216,0.26153,,1.474574
E1,75,0.086134,-0.002971,0.254878,,1.475235
E1,76,0.095974,0.001747,0.260109,,1.475897
E1,77,0.075114,-0.008777,0.248982,,1.47656
E1,78,0.092171,-0.005143,0.257115,,1.477223
E1,79,0.065098,-0.012506,0.243699,,1.477887
E1,80,0.079345,-0.008483,0.247682,,1.478552
E1,81,0.065509,-0.013973,0.241108,,1.479217
E1,82,0.069904,-0.009495,0.241483,,1.479883
E1,83,0.066227,-0.011686,0.238747,,1.480549
E1,84,0.137712,0.019289,0.26897,,1.481216
E1,85,0.062017,-0.007973,0.233945,,1.481883
E1,86,0.071874,-0.004044,0.235057,,1.482552
E1,87,0.062482,-0.01669,0.233306,,1.48322
E1,88,0.064301,-0.013969,0.234213,,1.48389
E1,89,0.051878,-0.019026,0.225659,,1.48456
E1,90,0.0688,-0.015433,0.233887,,1.48523
E1,91,0.04714,-0.018084,0.22362,,1.485901
E1,92,0.064118,-0.01549,0.228518,,1.486573
E1,93,0.053288,-0.017804,0.224106,,1.487245
E1,94,0.062801,-0.016062,0.224302,,1.487918
E1,95,0.059737,-0.013543,0.222431,,1.488592
E1,96,0.130082,0.013471,0.248899,,1.489266
E1,97,0.057114,-0.014198,0.218453,,1.489941
E1,98,0.059188,-0.015978,0.219378,,1.490616
E1,99,0.049583,-0.018345,0.216824,,1.491292
E1,100,0.057336,-0.010843,0.219971,,1.491969
E1,101,0.042106,-0.0179,0.214703,,1.492646
E1,102,0.063003,-0.016497,0.22256,,1.493324
E1,103,0.039586,-0.018934,0.209682,,1.494002
E1,104,0.05077,-0.016147,0.210537,,1.494682
E1,105,0.047867,-0.019912,0.203976,,1.495361
E1,106,0.055247,-0.01759,0.206161,,1.496042
E1,107,0.049504,-0.014986,0.205275,,1.496722
E1,108,0.116365,0.00871,0.240026,,1.497404
E1,109,0.04584,-0.014008,0.205124,,1.498086
E1,110,0.054686,-0.009495,0.208288,,1.498769
E1,111,0.047618,-0.015766,0.203162,,1.499452
E1,112,0.053287,-0.014041,0.206923,,1.500137
E1,113,0.044289,-0.018226,0.207077,,1.500821
E1,114,0.060395,-0.015537,0.215625,,1.501507
E1,115,0.040813,-0.019183,0.205268,,1.502192
E1,116,0.053871,-0.017889,0.208387,,1.502879
E1,117,0.04329,-0.018831,0.203466,,1.503566
E1,118,0.051206,-0.016806,0.199503,,1.504254
E1,119,0.049873,-0.013367,0.19598,,1.504942
E1,120,0.106758,0.010942,0.235901,,1.505632
E1,121,0.045902,-0.014111,0.199256,,1.506321
E1,122,0.049917,-0.016364,0.202204,,1.507012
E1,123,0.04367,-0.017948,0.202055,,1.507703
E1,124,0.048335,-0.014956,0.204945,,1.508394
E1,125,0.035417,-0.019166,0.202038,,1.509086
E1,126,0.043997,-0.014793,0.21159,,1.509779
E1,127,0.028912,-0.018845,0.199209,,1.510473
E1,128,0.041041,-0.015484,0.203719,,1.511167
E1,129,0.032401,-0.020285,0.193237,,1.511862
E1,130,0.041301,-0.017097,0.196001,,1.512557
E1,131,0.036889,-0.018452,0.191634,,1.513253
E1,132,0.097491,0.00158,0.235014,,1.51395
E1,133,0.034411,-0.016215,0.195504,,1.514647
E1,134,0.039463,-0.019349,0.199545,,1.515345
E1,135,0.031894,-0.021829,0.193902,,1.516044
E1,136,0.034168,-0.021231,0.198489,,1.516743
E1,137,0.025094,-0.021123,0.193684,,1.517443
E1,138,0.037905,-0.020818,0.204065,,1.518144
E1,139,0.023106,-0.022413,0.188422,,1.518845
E1,140,0.03279,-0.019578,0.198247,,1.519547
E1,141,0.022681,-0.022846,0.194418,,1.520249
E1,142,0.038557,-0.022005,0.196787,,1.520953
E1,143,0.034216,-0.020302,0.195249,,1.521656
E1,144,0.097207,0.001608,0.241221,,1.522361
E1,145,0.03078,-0.020672,0.193259,,1.523066
E1,146,0.036416,-0.022448,0.190519,,1.523772
E1,147,0.027171,-0.023035,0.195859,,1.524478
E1,148,0.029245,-0.021999,0.194533,,1.525185
E1,149,0.022427,-0.025609,0.188639,,1.525893
E1,150,0.033461,-0.023518,0.199845,,1.526601
E1,151,0.013694,-0.027214,0.181788,,1.52731
E1,152,0.022592,-0.023144,0.184262,,1.52802
E1,153,0.018367,-0.026462,0.179926,,1.528731
E1,154,0.027092,-0.026184,0.181966,,1.529442
E1,155,0.023286,-0.025293,0.178832,,1.530153
E1,156,0.085163,-0.004167,0.227766,,1.530866
E1,157,0.02363,-0.025668,0.178497,,1.531579
E1,158,0.029313,-0.029135,0.178381,,1.532292
E1,159,0.022912,-0.03067,0.179104,,1.533007
E1,160,0.024251,-0.025377,0.178553,,1.533722
E1,161,0.016184,-0.029911,0.174538,,1.534437
E1,162,0.017866,-0.027779,0.18756,,1.535154
E1,163,0.015936,-0.032179,0.179541,,1.535871
E1,164,0.023775,-0.025435,0.172227,,1.536588
E1,165,0.022489,-0.028758,0.168008,,1.537307
E1,166,0.023675,-0.026943,0.166045,,1.538026
E1,167,0.023639,-0.02324,0.161915,,1.538746
E1,168,0.084192,-0.002057,0.220638,,1.539466
E1,169,0.023868,-0.024502,0.166843,,1.540187
E1,170,0.020548,-0.026631,0.166231,,1.540909
E1,171,0.016718,-0.029081,0.164039,,1.541631
E1,172,0.019878,-0.027228,0.168352,,1.542354
E1,173,0.011403,-0.031505,0.164536,,1.543078
E1,174,0.018922,-0.03027,0.17086,,1.543802
E1,175,0.012381,-0.031123,0.160549,,1.544528
E1,176,0.017815,-0.022282,0.159085,,1.545253
E1,177,0.018285,-0.027304,0.154905,,1.54598
E1,178,0.016002,-0.027807,0.153256,,1.546707
E1,179,0.019774,-0.025668,0.152135,,1.547435
E1,180,0.068782,-0.00486,0.215265,,1.548164
E1,181,0.016328,-0.028909,0.153201,,1.548893
E1,182,0.017665,-0.029266,0.150431,,1.549623
E1,183,0.010712,-0.031594,0.149,,1.550353
E1,184,0.011997,-0.028254,0.147788,,1.551085
E1,185,0.009024,-0.033861,0.14569,,1.551817
E1,186,0.016827,-0.029202,0.150782,,1.552549
E1,187,0.007758,-0.031208,0.146696,,1.553283
E1,188,0.011222,-0.026528,0.14875,,1.554017
E1,189,0.011247,-0.028448,0.150887,,1.554751
E1,190,0.010604,-0.027553,0.142214,,1.555487
E1,191,0.014646,-0.023733,0.142819,,1.556223
E1,192,0.06621,-0.001845,0.205786,,1.55696
E1,193,0.011228,-0.026737,0.144514,,1.557697
E1,194,0.00403,-0.030388,0.144795,,1.558436
E1,195,0.002828,-0.027785,0.142789,,1.559175
E1,196,0.005709,-0.024855,0.13622,,1.559914
E1,197,0.005669,-0.027067,0.140147,,1.560655
E1,198,0.006986,-0.025225,0.140293,,1.561396
E1,199,0.004031,-0.025952,0.134398,,1.562137
E1,200,0.007174,-0.022716,0.131139,,1.56288
E1,201,0.009398,-0.023882,0.127941,,1.563623
E1,202,0.009349,-0.02431,0.12553,,1.564367
E1,203,0.011516,-0.022185,0.130677,,1.565112
E1,204,0.062148,-0.008399,0.180891,,1.565857
E1,205,0.00914,-0.023254,0.12988,,1.566603
E1,206,0.015237,-0.024386,0.126929,,1.56735
E1,207,0.009925,-0.023659,0.123868,,1.568097
E1,208,0.011371,-0.019026,0.124554,,1.568845
E1,209,0.015332,-0.022382,0.115153,,1.569594
E1,210,0.019328,-0.019075,0.128515,,1.570344
E1,211,0.009209,-0.021436,0.114259,,1.571094
E1,212,0.013619,-0.019123,0.119282,,1.571845
E1,213,0.013326,-0.020125,0.119353,,1.572597
E1,214,0.019982,-0.019029,0.116119,,1.573349
E1,215,0.024506,-0.016743,0.120919,,1.574102
E1,216,0.065675,-0.000451,0.170719,,1.574856
E1,217,0.024562,-0.015345,0.114456,,1.575611
E1,218,0.022198,-0.016768,0.115325,,1.576366
E1,219,0.015272,-0.017256,0.111179,,1.577122
E1,220,0.017463,-0.01542,0.113736,,1.577879
E1,221,0.015228,-0.018293,0.10334,,1.578636
E1,222,0.024991,-0.016645,0.114197,,1.579394
E1,223,0.015878,-0.018233,0.106904,,1.580153
E1,224,0.022904,-0.015264,0.110967,,1.580913
E1,225,0.016899,-0.016604,0.108973,,1.581674
E1,226,0.025538,-0.015128,0.106862,,1.582435
E1,227,0.024212,-0.012817,0.110063,,1.583197
E1,228,0.057619,-0.004558,0.147662,,1.583959
E1,229,0.024164,-0.014337,0.102088,,1.584723
E1,230,0.017047,-0.018405,0.096892,,1.585487
E1,231,0.014492,-0.017647,0.098603,,1.586251
E1,232,0.01968,-0.016017,0.095741,,1.587017
E1,233,0.013246,-0.018075,0.092589,,1.587783
E1,234,0.016535,-0.017749,0.094995,,1.58855
E1,235,0.012105,-0.018565,0.088136,,1.589318
E1,236,0.01923,-0.015082,0.089465,,1.590087
E1,237,0.013565,-0.015393,0.090517,,1.590856
E1,238,0.01652,-0.016948,0.087031,,1.591626
E1,239,0.021505,-0.014375,0.092238,,1.592397
E1,240,0.050003,-0.002811,0.154822,,1.593168
E1,241,0.023771,-0.017129,0.087051,,1.593941
E1,242,0.013706,-0.01965,0.080215,,1.594714
E1,243,0.013703,-0.01982,0.080609,,1.595487
E1,244,0.011566,-0.018525,0.079923,,1.596262
E1,245,0.015668,-0.021006,0.07856,,1.597037
E1,246,0.021392,-0.019547,0.087891,,1.597813
E1,247,0.010341,-0.020772,0.073714,,1.59859
E1,248,0.013791,-0.018708,0.080569,,1.599367
E1,249,0.012804,-0.020089,0.082293,,1.600146
E1,250,0.012016,-0.020016,0.081843,,1.600925
E1,251,0.029819,-0.013843,0.090155,,1.601704
E1,252,0.051556,-0.001536,0.164647,,1.602485
E1,253,0.019491,-0.016755,0.092288,,1.603266
E1,254,0.01635,-0.018067,0.088769,,1.604048
E1,255,0.020924,-0.019925,0.087333,,1.604831
E1,256,0.017955,-0.021299,0.088799,,1.605615
E1,257,0.015138,-0.021613,0.089325,,1.606399
E1,258,0.020402,-0.020944,0.091888,,1.607184
E1,259,0.020612,-0.023183,0.088683,,1.60797
E1,260,0.018359,-0.021231,0.089538,,1.608757
E1,261,0.019968,-0.019141,0.091915,,1.609544
E1,262,0.025387,-0.019019,0.093177,,1.610333
E1,263,0.022814,-0.017168,0.097269,,1.611122
E1,264,0.053135,-0.006152,0.173929,,1.611911
E1,265,0.023478,-0.017571,0.100228,,1.612702
