env,h,model,sieu_tham_so,mae_p50_val,n_train_cuoi,giay
E1,1,naive,{},,0,0.0
E1,1,ma6,{},,0,0.0
E1,1,seasonal,{},,0,0.4
E1,1,lr,{},0.2426462870953129,1395851,5.8
E1,1,ridge,"{""alpha"": 100.0}",0.2424344031016032,1395851,13.7
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0.1684677076940776,1395851,367.6
E1,6,naive,{},,0,0.0
E1,6,ma6,{},,0,0.0
E1,6,seasonal,{},,0,0.8
E1,6,lr,{},0.6104741990100038,1392176,9.9
E1,6,ridge,"{""alpha"": 0.01}",0.6103984288286808,1392176,25.2
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0.2816701078775337,1392176,395.6
E1,12,naive,{},,0,0.0
E1,12,ma6,{},,0,0.0
E1,12,seasonal,{},,0,0.3
E1,12,lr,{},0.8739979969110703,1387766,5.8
E1,12,ridge,"{""alpha"": 0.01}",0.874255102057206,1387766,14.9
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0.320535653377972,1387766,476.9
E2,1,naive,{},,0,0.0
E2,1,ma6,{},,0,0.0
E2,1,seasonal,{},,0,0.2
E2,1,lr,{},0.3705546966253541,573692,3.0
E2,1,ridge,"{""alpha"": 0.01}",0.3705464024637258,573692,5.7
E2,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0.2889983228567946,573692,95.4
E2,6,naive,{},,0,0.0
E2,6,ma6,{},,0,0.0
E2,6,seasonal,{},,0,0.1
E2,6,lr,{},0.8463330914918021,570871,2.2
E2,6,ridge,"{""alpha"": 0.01}",0.8463376645872145,570871,6.0
E2,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0.5132673805932362,570871,108.2
E2,12,naive,{},,0,0.0
E2,12,ma6,{},,0,0.0
E2,12,seasonal,{},,0,0.1
E2,12,lr,{},1.2357200261448138,568528,2.1
E2,12,ridge,"{""alpha"": 0.01}",1.2356866542361908,568528,5.7
E2,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0.5802720510471634,568528,172.1
E3,1,naive,{},,0,0.0
E3,1,ma6,{},,0,0.0
E3,1,seasonal,{},,0,0.2
E3,1,lr,{},3.765271264599174,766720,3.2
E3,1,ridge,"{""alpha"": 100.0}",3.764329286817766,766720,9.0
E3,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3.71086012320554,766720,290.9
E3,6,naive,{},,0,0.0
E3,6,ma6,{},,0,0.0
E3,6,seasonal,{},,0,0.2
E3,6,lr,{},5.169511658722233,754701,3.0
E3,6,ridge,"{""alpha"": 100.0}",5.167619749353745,754701,7.9
E3,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4.97038536622998,754701,267.8
E3,12,naive,{},,0,0.0
E3,12,ma6,{},,0,0.0
E3,12,seasonal,{},,0,0.3
E3,12,lr,{},5.702470369058489,745299,4.2
E3,12,ridge,"{""alpha"": 100.0}",5.701079963660126,745299,10.0
E3,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",5.26917146527736,745299,312.8
E1,1,rf,"{""max_depth"": 16}",0.1532510549443248,1395851,2736.1
E1,6,rf,"{""max_depth"": 16}",0.2436725476928676,1392176,3455.9
E1,12,rf,"{""max_depth"": 16}",0.2511377156009807,1387766,2637.7
E2,1,rf,"{""max_depth"": 16}",0.2771904990692143,573692,685.9
E2,6,rf,"{""max_depth"": 16}",0.4218383118399171,570871,724.6
E2,12,rf,"{""max_depth"": 16}",0.4556728507004847,568528,738.6
E3,1,rf,"{""max_depth"": 16}",3.7849806293010873,766720,1330.1
E3,6,rf,"{""max_depth"": 8}",5.009803986247448,754701,1118.4
E3,12,rf,"{""max_depth"": 8}",5.425000852269617,745299,1038.9
E1,1,svr,"{""C"": 10.0}",0.1458251395895255,10000,357.9
E1,6,svr,"{""C"": 10.0}",0.1397831249425223,9971,334.5
E1,12,svr,"{""C"": 10.0}",0.1456736814119916,9944,316.2
E2,1,svr,"{""C"": 10.0}",0.2483629904520419,10000,157.0
E2,6,svr,"{""C"": 10.0}",0.2619520759162446,9946,156.7
E2,12,svr,"{""C"": 10.0}",0.2756597518496507,9899,145.7
E3,1,svr,"{""C"": 10.0}",3.943358416741272,10000,427.1
E3,6,svr,"{""C"": 1.0}",5.263492931387815,9815,401.0
E3,12,svr,"{""C"": 1.0}",5.8152467842754465,9689,370.2
