series_id,env,mean,std,n_diem,cv,cv_chan,ti_le_cham_chan
E1_1,E1,5.666917,20.75928,2304,3.663241,4.079985,0.897856
E1_100,E1,2.071489,0.139109,2304,0.067154,6.875642,0.009767
E1_1000,E1,3.354232,5.534199,2304,1.649915,5.367782,0.307374
E1_1002,E1,1.891522,0.338784,2304,0.179106,7.201908,0.024869
E1_1005,E1,18.280283,6.29346,2304,0.344276,2.114326,0.16283
E1_1006,E1,8.061697,3.696302,2304,0.458502,3.377031,0.135771
E1_1007,E1,17.5389,3.260751,2304,0.185915,2.16832,0.085742
E1_1017,E1,1.529115,0.55001,2304,0.359692,8.024793,0.044823
E1_102,E1,1.110486,0.581652,2304,0.523782,9.436665,0.055505
E1_1025,E1,6.53058,12.742501,2304,1.951205,3.783196,0.515756
E1_1036,E1,1.131721,6.159266,2304,5.442388,9.34671,0.582278
E1_1037,E1,1.159685,6.567551,2304,5.66322,9.232026,0.613432
E1_104,E1,2.111777,0.148771,2304,0.070448,6.80834,0.010347
E1_106,E1,1.508498,0.058808,2304,0.038984,8.080292,0.004825
E1_1063,E1,3.063535,5.289775,2304,1.72669,5.625124,0.30696
E1_107,E1,1.30621,0.099541,2304,0.076206,8.692373,0.008767
E1_1079,E1,1.786035,3.130846,2304,1.75296,7.415521,0.236391
E1_108,E1,1.067132,0.061677,2304,0.057797,9.628555,0.006003
E1_1081,E1,2.085481,0.782241,2304,0.375089,6.852049,0.054741
E1_1087,E1,1.04173,0.612257,2304,0.587731,9.746495,0.060302
E1_109,E1,1.042958,0.055488,2304,0.053203,9.740693,0.005462
E1_1091,E1,1.913596,3.909344,2304,2.04293,7.159443,0.285348
E1_11,E1,2.43656,4.379435,2304,1.797385,6.327833,0.284044
E1_110,E1,11.239041,27.98288,2304,2.489793,2.810259,0.885965
E1_111,E1,1.104307,0.081035,2304,0.073381,9.463327,0.007754
E1_112,E1,5.191484,2.499848,2304,0.481529,4.273443,0.112679
E1_113,E1,1.366486,2.564921,2031,1.877019,8.495904,0.220932
E1_114,E1,3.506176,1.164989,2304,0.332268,5.246056,0.063337
E1_115,E1,1.757778,0.964684,2304,0.548809,7.475962,0.07341
E1_116,E1,1.360047,0.135076,2304,0.099317,8.516272,0.011662
E1_1160,E1,1.376195,3.778165,2304,2.745371,8.465468,0.324302
E1_1167,E1,1.453958,4.279053,2304,2.943037,8.232726,0.35748
E1_117,E1,3.303221,0.505848,2304,0.153138,5.410497,0.028304
E1_118,E1,8.154334,3.415283,2304,0.41883,3.356101,0.124797
E1_1184,E1,1.214141,0.457086,2304,0.376469,9.020131,0.041737
E1_1188,E1,1.379129,4.318199,2304,3.131105,8.45633,0.370268
E1_119,E1,8.714281,4.334404,2304,0.497391,3.236575,0.153678
E1_12,E1,1.007329,0.188901,2304,0.187527,9.913246,0.018917
E1_120,E1,8.791847,4.647886,2304,0.528659,3.220896,0.164134
E1_1202,E1,2.014571,5.511931,2304,2.736032,6.974121,0.392312
E1_121,E1,3.015077,0.677789,2304,0.2248,5.671565,0.039636
E1_122,E1,2.269307,0.745308,2304,0.32843,6.562494,0.050046
E1_1220,E1,1.034335,0.453681,2304,0.438621,9.78164,0.044841
E1_1221,E1,1.030181,0.265083,2304,0.257317,9.801546,0.026253
E1_1225,E1,1.110375,0.330856,2304,0.297968,9.437141,0.031574
E1_1226,E1,9.81029,3.214877,2304,0.327705,3.032059,0.10808
E1_1227,E1,9.555288,0.844018,2304,0.08833,3.07659,0.02871
E1_1228,E1,8.888821,0.770265,2304,0.086655,3.201576,0.027067
E1_1229,E1,3.779906,6.261842,2304,1.656613,5.045363,0.328344
E1_123,E1,2.126241,1.400635,2304,0.658738,6.784641,0.097092
E1_1230,E1,5.542397,2.804938,2304,0.506088,4.128285,0.12259
E1_1233,E1,2.428067,3.306104,2304,1.36162,6.339166,0.214795
E1_124,E1,3.385877,0.508175,2304,0.150087,5.341764,0.028097
E1_125,E1,8.875554,4.766948,2304,0.537087,3.204201,0.16762
E1_126,E1,1.693926,0.140313,2304,0.082833,7.618036,0.010873
E1_127,E1,1.735128,0.105593,2304,0.060856,7.525466,0.008087
E1_128,E1,6.892428,0.77454,2304,0.112376,3.675415,0.030575
E1_129,E1,3.407078,2.119412,2304,0.622061,5.324534,0.116829
E1_131,E1,1.977056,0.386262,2304,0.195372,7.041326,0.027747
E1_132,E1,1.546752,0.130586,2304,0.084426,7.978197,0.010582
E1_133,E1,3.603513,0.070797,2304,0.019647,5.172108,0.003799
E1_134,E1,2.958602,2.064379,2304,0.697755,5.727106,0.121834
E1_135,E1,3.644286,0.210918,2304,0.057876,5.142005,0.011256
E1_136,E1,1.654614,0.233054,2304,0.140851,7.709542,0.01827
E1_137,E1,1.171272,0.118077,2304,0.100811,9.185711,0.010975
