env,h,model,ung_vien,fold,n_train,n_val,mae_p50_val,giay
E1,1,lr,{},0,1142276,49980,0.1914558027304854,1.4
E1,1,lr,{},1,1192991,49980,0.2681726231294519,0.9
E1,1,lr,{},2,1243706,49980,0.3372011137943642,0.8
E1,1,lr,{},3,1294421,49980,0.2435467495637781,0.9
E1,1,lr,{},4,1345136,49980,0.1728551462584851,0.9
E1,1,ridge,"{""alpha"": 0.01}",0,1142276,49980,0.1906748416377048,0.5
E1,1,ridge,"{""alpha"": 0.01}",1,1192991,49980,0.2683077223160687,0.5
E1,1,ridge,"{""alpha"": 0.01}",2,1243706,49980,0.3369058674457026,0.5
E1,1,ridge,"{""alpha"": 0.01}",3,1294421,49980,0.2435433415805592,0.5
E1,1,ridge,"{""alpha"": 0.01}",4,1345136,49980,0.1729718591652665,0.5
E1,1,ridge,"{""alpha"": 0.1}",0,1142276,49980,0.1906727800182267,0.5
E1,1,ridge,"{""alpha"": 0.1}",1,1192991,49980,0.2683059832629034,0.5
E1,1,ridge,"{""alpha"": 0.1}",2,1243706,49980,0.3369107339896408,0.5
E1,1,ridge,"{""alpha"": 0.1}",3,1294421,49980,0.2435447300181669,0.5
E1,1,ridge,"{""alpha"": 0.1}",4,1345136,49980,0.1729718872145111,0.6
E1,1,ridge,"{""alpha"": 1.0}",0,1142276,49980,0.190673214781518,0.5
E1,1,ridge,"{""alpha"": 1.0}",1,1192991,49980,0.2683035850524901,0.5
E1,1,ridge,"{""alpha"": 1.0}",2,1243706,49980,0.3369043107126273,0.5
E1,1,ridge,"{""alpha"": 1.0}",3,1294421,49980,0.2435458660125732,0.5
E1,1,ridge,"{""alpha"": 1.0}",4,1345136,49980,0.1729728408888275,0.5
E1,1,ridge,"{""alpha"": 10.0}",0,1142276,49980,0.1906694141088747,0.5
E1,1,ridge,"{""alpha"": 10.0}",1,1192991,49980,0.2682806547950295,0.5
E1,1,ridge,"{""alpha"": 10.0}",2,1243706,49980,0.3368881683723599,0.6
E1,1,ridge,"{""alpha"": 10.0}",3,1294421,49980,0.2435599888072294,0.6
E1,1,ridge,"{""alpha"": 10.0}",4,1345136,49980,0.1729772866940966,0.5
E1,1,ridge,"{""alpha"": 100.0}",0,1142276,49980,0.1906332025340959,0.5
E1,1,ridge,"{""alpha"": 100.0}",1,1192991,49980,0.2680772416731889,0.5
E1,1,ridge,"{""alpha"": 100.0}",2,1243706,49980,0.3367112197127997,0.5
E1,1,ridge,"{""alpha"": 100.0}",3,1294421,49980,0.2437188316794002,0.5
E1,1,ridge,"{""alpha"": 100.0}",4,1345136,49980,0.173031519908531,0.5
E1,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",0,1142276,49980,0.168689729419409,8.9
E1,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",1,1192991,49980,0.2001262503511765,9.3
E1,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",2,1243706,49980,0.1765271554974948,10.1
E1,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3,1294421,49980,0.2247222921427559,10.2
E1,1,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4,1345136,49980,0.1748332388260785,10.7
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0,1142276,49980,0.1643184535643633,13.7
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",1,1192991,49980,0.1875188812321307,14.9
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",2,1243706,49980,0.146127186569513,16.2
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",3,1294421,49980,0.2006272384933397,16.2
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",4,1345136,49980,0.1710864221348481,18.3
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0,1142276,49980,0.1633997571818969,32.2
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",1,1192991,49980,0.1743954593060063,34.4
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",2,1243706,49980,0.1434699875466963,43.4
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",3,1294421,49980,0.1933010585835667,42.8
E1,1,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",4,1345136,49980,0.167772275852222,41.9
E1,6,lr,{},0,1138601,46305,0.504042270196178,1.5
E1,6,lr,{},1,1189316,46305,0.7847275093895273,1.4
E1,6,lr,{},2,1240031,46305,1.0078874285258943,1.8
E1,6,lr,{},3,1290746,46305,0.3679107131150664,1.7
E1,6,lr,{},4,1341461,46305,0.3878030738233528,1.7
E1,6,ridge,"{""alpha"": 0.01}",0,1138601,46305,0.5037909997203363,0.9
E1,6,ridge,"{""alpha"": 0.01}",1,1189316,46305,0.7843417708350723,0.8
E1,6,ridge,"{""alpha"": 0.01}",2,1240031,46305,1.0082920286390515,0.9
E1,6,ridge,"{""alpha"": 0.01}",3,1290746,46305,0.3681157682307813,1.0
E1,6,ridge,"{""alpha"": 0.01}",4,1341461,46305,0.3874515767181631,0.9
E1,6,ridge,"{""alpha"": 0.1}",0,1138601,46305,0.5037925589021551,0.9
E1,6,ridge,"{""alpha"": 0.1}",1,1189316,46305,0.7843423612048872,1.0
E1,6,ridge,"{""alpha"": 0.1}",2,1240031,46305,1.0082932699294316,0.9
E1,6,ridge,"{""alpha"": 0.1}",3,1290746,46305,0.3681159498830321,0.9
E1,6,ridge,"{""alpha"": 0.1}",4,1341461,46305,0.3874509257975979,1.0
E1,6,ridge,"{""alpha"": 1.0}",0,1138601,46305,0.5037949657944776,0.8
E1,6,ridge,"{""alpha"": 1.0}",1,1189316,46305,0.784344026350519,1.0
E1,6,ridge,"{""alpha"": 1.0}",2,1240031,46305,1.0083021708897182,0.9
E1,6,ridge,"{""alpha"": 1.0}",3,1290746,46305,0.3681175393402261,1.0
E1,6,ridge,"{""alpha"": 1.0}",4,1341461,46305,0.3874511528629114,0.9
E1,6,ridge,"{""alpha"": 10.0}",0,1138601,46305,0.5038000671951859,0.9
E1,6,ridge,"{""alpha"": 10.0}",1,1189316,46305,0.7843738475950162,1.0
E1,6,ridge,"{""alpha"": 10.0}",2,1240031,46305,1.0083274811033218,0.9
E1,6,ridge,"{""alpha"": 10.0}",3,1290746,46305,0.3681271063587653,1.0
E1,6,ridge,"{""alpha"": 10.0}",4,1341461,46305,0.3874481253253989,1.0
E1,6,ridge,"{""alpha"": 100.0}",0,1138601,46305,0.5038710326744766,0.9
E1,6,ridge,"{""alpha"": 100.0}",1,1189316,46305,0.7846411488819861,1.0
E1,6,ridge,"{""alpha"": 100.0}",2,1240031,46305,1.0086190783788287,1.0
E1,6,ridge,"{""alpha"": 100.0}",3,1290746,46305,0.3682235031531601,1.0
E1,6,ridge,"{""alpha"": 100.0}",4,1341461,46305,0.3874303688178887,1.0
E1,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",0,1138601,46305,0.2687022259626439,16.5
E1,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",1,1189316,46305,0.360990301137248,15.1
E1,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",2,1240031,46305,0.2158983691028816,14.3
E1,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3,1290746,46305,0.318047752771428,15.2
E1,6,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4,1341461,46305,0.2557843929876096,14.1
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0,1138601,46305,0.2219238833775596,16.6
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",1,1189316,46305,0.3383362888659119,18.4
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",2,1240031,46305,0.1978086643118076,21.2
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",3,1290746,46305,0.373463903280793,19.5
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",4,1341461,46305,0.2768177995515969,21.4
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0,1138601,46305,0.2236491786109076,36.0
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",1,1189316,46305,0.3447630468499724,40.5
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",2,1240031,46305,0.2116982343966369,42.9
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",3,1290746,46305,0.3843113142346579,41.3
E1,6,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",4,1341461,46305,0.2712743167523984,41.5
E1,12,lr,{},0,1134191,41895,0.7519367340712519,0.9
E1,12,lr,{},1,1184906,41895,1.1683804707220422,0.9
E1,12,lr,{},2,1235621,41895,1.524776928327237,1.0
E1,12,lr,{},3,1286336,41895,0.3956400865699813,1.2
E1,12,lr,{},4,1337051,41895,0.5292557648648395,1.0
E1,12,ridge,"{""alpha"": 0.01}",0,1134191,41895,0.7522998999433909,0.5
E1,12,ridge,"{""alpha"": 0.01}",1,1184906,41895,1.1690716838278965,0.5
E1,12,ridge,"{""alpha"": 0.01}",2,1235621,41895,1.524666837502641,0.6
E1,12,ridge,"{""alpha"": 0.01}",3,1286336,41895,0.3953043262860928,0.6
E1,12,ridge,"{""alpha"": 0.01}",4,1337051,41895,0.5299327627260085,0.6
E1,12,ridge,"{""alpha"": 0.1}",0,1134191,41895,0.752297473929779,0.5
E1,12,ridge,"{""alpha"": 0.1}",1,1184906,41895,1.1690738923368398,0.6
E1,12,ridge,"{""alpha"": 0.1}",2,1235621,41895,1.524667105200695,0.6
E1,12,ridge,"{""alpha"": 0.1}",3,1286336,41895,0.3953047445643018,0.6
E1,12,ridge,"{""alpha"": 0.1}",4,1337051,41895,0.5299331308108324,0.6
E1,12,ridge,"{""alpha"": 1.0}",0,1134191,41895,0.7522963362130506,0.5
E1,12,ridge,"{""alpha"": 1.0}",1,1184906,41895,1.1690834123488754,0.5
E1,12,ridge,"{""alpha"": 1.0}",2,1235621,41895,1.5246692969785098,0.6
E1,12,ridge,"{""alpha"": 1.0}",3,1286336,41895,0.3953092619689584,0.6
E1,12,ridge,"{""alpha"": 1.0}",4,1337051,41895,0.5299386520831906,0.6
E1,12,ridge,"{""alpha"": 10.0}",0,1134191,41895,0.7522798225893612,0.6
E1,12,ridge,"{""alpha"": 10.0}",1,1184906,41895,1.1691174267328273,0.5
E1,12,ridge,"{""alpha"": 10.0}",2,1235621,41895,1.5247042483056497,0.6
E1,12,ridge,"{""alpha"": 10.0}",3,1286336,41895,0.3953477268330535,0.6
E1,12,ridge,"{""alpha"": 10.0}",4,1337051,41895,0.5299792016458791,0.6
E1,12,ridge,"{""alpha"": 100.0}",0,1134191,41895,0.7521054340384857,0.5
E1,12,ridge,"{""alpha"": 100.0}",1,1184906,41895,1.1694921370835332,0.5
E1,12,ridge,"{""alpha"": 100.0}",2,1235621,41895,1.5250087548417657,0.6
E1,12,ridge,"{""alpha"": 100.0}",3,1286336,41895,0.3957245954993175,0.6
E1,12,ridge,"{""alpha"": 100.0}",4,1337051,41895,0.5303853665178979,0.6
E1,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",0,1134191,41895,0.2699198355451662,14.4
E1,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",1,1184906,41895,0.3581470347287362,18.7
E1,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",2,1235621,41895,0.3040166648507815,18.5
E1,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",3,1286336,41895,0.3739227342326738,19.7
E1,12,xgb,"{""max_depth"": 4, ""n_estimators"": 300}",4,1337051,41895,0.3222671486480892,21.6
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",0,1134191,41895,0.2920199062790388,21.7
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",1,1184906,41895,0.3457067035095036,22.9
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",2,1235621,41895,0.2065100335238272,23.1
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",3,1286336,41895,0.4162212188856268,22.9
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 300}",4,1337051,41895,0.3422204046918635,25.5
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",0,1134191,41895,0.291357674027047,38.6
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",1,1184906,41895,0.3422672248026083,41.8
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",2,1235621,41895,0.2165228631761339,51.9
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",3,1286336,41895,0.467070374293634,43.9
E1,12,xgb,"{""max_depth"": 8, ""n_estimators"": 600}",4,1337051,41895,0.3314033069108661,53.8
E2,1,lr,{},0,469502,20536,0.3602868330244921,1.3
E2,1,lr,{},1,490340,20536,0.370041938155305,0.3
E2,1,lr,{},2,511178,20536,0.3316887778394363,0.4
E2,1,lr,{},3,532016,20536,0.3329885052699665,0.3
E2,1,lr,{},4,552854,20536,0.4577674288375705,0.3
E2,1,ridge,"{""alpha"": 0.01}",0,469502,20536,0.3602668374192478,0.2
E2,1,ridge,"{""alpha"": 0.01}",1,490340,20536,0.3700880931872947,0.2
E2,1,ridge,"{""alpha"": 0.01}",2,511178,20536,0.3316964843693901,0.2
E2,1,ridge,"{""alpha"": 0.01}",3,532016,20536,0.3329574722869719,0.2
E2,1,ridge,"{""alpha"": 0.01}",4,552854,20536,0.4577231250557244,0.2
E2,1,ridge,"{""alpha"": 0.1}",0,469502,20536,0.3602700210085099,0.2
E2,1,ridge,"{""alpha"": 0.1}",1,490340,20536,0.3700893168355904,0.2
E2,1,ridge,"{""alpha"": 0.1}",2,511178,20536,0.3316963406170116,0.2
E2,1,ridge,"{""alpha"": 0.1}",3,532016,20536,0.3329572338683928,0.2
E2,1,ridge,"{""alpha"": 0.1}",4,552854,20536,0.4577218488150951,0.2
E2,1,ridge,"{""alpha"": 1.0}",0,469502,20536,0.3602700210085099,0.2
E2,1,ridge,"{""alpha"": 1.0}",1,490340,20536,0.3700899128820381,0.2
E2,1,ridge,"{""alpha"": 1.0}",2,511178,20536,0.3316970173050376,0.2
E2,1,ridge,"{""alpha"": 1.0}",3,532016,20536,0.3329609959733248,0.2
