env,mode,series_id,mu,sd,n_dong_train
E1a,N0,E1_1,,,1612
E1a,N1,E1_1,7.4505180923295065,23.95239662021242,1612
E1a,N2,E1_1,,,1612
E1a,N0,E1_1000,,,1612
E1a,N1,E1_1000,3.3481803143093463,5.94817406196029,1612
E1a,N2,E1_1000,,,1612
E1a,N0,E1_1007,,,1612
E1a,N1,E1_1007,17.747430727874278,3.7704991119253655,1612
E1a,N2,E1_1007,,,1612
E1a,N0,E1_1025,,,1612
E1a,N1,E1_1025,4.354448777029422,8.624867123871978,1612
E1a,N2,E1_1025,,,1612
E1a,N0,E1_1063,,,1612
E1a,N1,E1_1063,1.609771948481626,2.873968893553565,1612
E1a,N2,E1_1063,,,1612
E1a,N0,E1_109,,,1612
E1a,N1,E1_109,1.0456885856079405,0.0604610028562972,1612
E1a,N2,E1_109,,,1612
E1a,N0,E1_110,,,1612
E1a,N1,E1_110,15.459093258891649,32.55054999316104,1612
E1a,N2,E1_110,,,1612
E1a,N0,E1_113,,,1339
E1a,N1,E1_113,1.4428751466979624,3.15149182383502,1339
E1a,N2,E1_113,,,1339
E1a,N0,E1_115,,,1612
E1a,N1,E1_115,1.7932197506794283,1.012051904551046,1612
E1a,N2,E1_115,,,1612
E1a,N0,E1_116,,,1612
E1a,N1,E1_116,1.3597741640080352,0.15115947336328173,1612
E1a,N2,E1_116,,,1612
E1a,N0,E1_1160,,,1612
E1a,N1,E1_1160,1.4287368545433061,3.8981501095810613,1612
E1a,N2,E1_1160,,,1612
E1a,N0,E1_118,,,1612
E1a,N1,E1_118,7.5600835139839475,3.0256485609105694,1612
E1a,N2,E1_118,,,1612
E1a,N0,E1_1188,,,1612
E1a,N1,E1_1188,1.523401866950254,5.098623208875654,1612
E1a,N2,E1_1188,,,1612
E1a,N0,E1_119,,,1612
E1a,N1,E1_119,6.713232270533953,3.593975757262032,1612
E1a,N2,E1_119,,,1612
E1a,N0,E1_120,,,1612
E1a,N1,E1_120,6.788920337055418,4.090166879542511,1612
E1a,N2,E1_120,,,1612
E1a,N0,E1_121,,,1612
E1a,N1,E1_121,2.845527590688881,0.6061502566051769,1612
E1a,N2,E1_121,,,1612
E1a,N0,E1_1221,,,1612
E1a,N1,E1_1221,1.032881858285084,0.3057783700904636,1612
E1a,N2,E1_1221,,,1612
E1a,N0,E1_1225,,,1612
E1a,N1,E1_1225,1.0871883492851235,0.31138793174649,1612
E1a,N2,E1_1225,,,1612
E1a,N0,E1_1226,,,1612
E1a,N1,E1_1226,9.14484373153728,2.5422819815195483,1612
E1a,N2,E1_1226,,,1612
E1a,N0,E1_1227,,,1612
E1a,N1,E1_1227,9.63543660640435,0.7516104934256389,1612
E1a,N2,E1_1227,,,1612
