xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,L_p50_xuoi,L_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan,huong_khop_trung_vi
E1->E3,E3->E1,N0,1,lr,497,735,1.0635783109430015,2.273260609980464,-0.8294638579777988,5.287592436273086e-135,5.604847982449471e-133,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,ridge,497,735,1.0634458266192965,2.2785071125540384,-0.8306355137628492,2.2245980600422046e-135,2.3803199242451588e-133,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,rf,497,735,1.0553954399712764,2.5448584071042495,-0.9060047358983835,1.1172902031969892e-160,1.2848837336765375e-158,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,xgb,497,735,1.0710413438886377,2.815831032312484,-0.9855404536059896,9.460349106611635e-190,1.2014643365396777e-187,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,1,svr,497,735,1.032676466358979,1.5249170020826135,-0.8438960292366444,1.1345548384907546e-139,1.225319225570015e-137,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,lr,497,735,0.9985741886161468,3.6249816461885365,-0.8548625083836352,2.843032779970807e-143,3.1273360579678877e-141,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,ridge,497,735,0.9987702382359779,3.6279461332151026,-0.8553990610328639,1.8897556487869763e-143,2.0976287701535438e-141,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,rf,497,735,1.0682714946434668,1.6192059507440244,-0.6973624057268784,5.313615683880752e-96,4.091484076588179e-94,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,xgb,497,735,1.065833768199642,3.320470921399012,-0.9591891484964207,7.5527731260259395e-180,9.289910945011906e-178,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,6,svr,497,735,1.0588895095007198,2.182185479749101,-0.9519785378940309,3.475630869173628e-177,4.136000734316617e-175,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,lr,497,735,1.0062461242112903,3.9125689749324732,-0.8721526437536785,4.809517063275139e-149,5.386659110868156e-147,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,ridge,497,735,1.006447421804939,3.9160277464010442,-0.8724975704567541,3.6794935799181015e-149,4.1578277453074544e-147,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,rf,497,735,1.1277365224041491,1.6148358082560077,-0.6999356684323629,1.0711457906116216e-96,8.354937166770648e-95,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,xgb,497,735,1.1091915795246803,2.5155020126877594,-0.8757004612710275,3.0447031764391435e-150,3.470961621140624e-148,True,ngược tốn hơn,True
E1->E3,E3->E1,N0,12,svr,497,735,1.0428058631261479,2.126384024327014,-0.9470619636184454,2.2144427426662264e-175,2.6130424363461473e-173,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,lr,497,735,0.662189096737525,1.4828446645815627,-0.9684255191010006,2.740121807441029e-183,3.4251522593012864e-181,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,ridge,497,735,0.6617897920941932,1.4867864149285184,-0.9684966944524288,2.5770982332627194e-183,3.247143773911026e-181,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,rf,497,735,1.0634880841820087,1.2574807328802278,-0.6953804459409518,1.8170502921013585e-95,1.3809582219970324e-93,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,xgb,497,735,0.8285458077360105,8.58459436922135,-0.9870351359859839,2.5481086761893923e-190,3.261579105522422e-188,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,1,svr,497,735,0.8939009997679677,1.4910957648172662,-0.9584883450362036,1.3734026102583351e-179,1.675551184515169e-177,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,6,lr,497,735,0.23456589590875151,2.7919431766935277,-0.996353631996058,6.840698364997367e-194,8.96131485814655e-192,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,6,ridge,497,735,0.23441989438423427,2.771910604781503,-0.9962660315635309,7.393113129993609e-194,9.611047068991693e-192,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,6,rf,497,735,1.0450434118317993,1.8716187918586733,-0.9410394338822048,3.4885754113204846e-173,4.081633231244967e-171,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,6,xgb,497,735,0.7750513416450828,15.458233126144904,-0.9961291558877072,8.346794607491872e-194,1.0767365043664515e-191,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,6,svr,497,735,0.8337233234267127,2.7727526733691343,-0.9993484717830794,4.789410024659051e-195,6.465703533289719e-193,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,12,lr,497,735,0.14449567526985252,3.6087679233516226,-0.9976566884298991,2.1530955329693013e-194,2.8636170588491708e-192,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,12,ridge,497,735,0.14444131800347754,3.608154820112452,-0.9976074131866026,2.249364350592967e-194,2.9691609427827164e-192,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,12,rf,497,735,1.0145358971986638,3.0258234990832653,-0.967467389370235,6.254322614134331e-183,7.755360041526571e-181,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,12,xgb,497,735,0.5428390458761014,15.91724750250751,-0.9988064441068177,7.754354983072959e-195,1.0390835677317765e-192,True,ngược tốn hơn,True
E1->E3,E3->E1,N1,12,svr,497,735,1.0829069657315664,1.4726342383373336,-0.848391026430693,3.840759293559112e-141,4.186427629979432e-139,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,1,lr,497,735,1.0793002055061987,1.4272735592004087,-0.6863521263636239,4.705660219172171e-93,3.517437686693738e-91,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,1,ridge,497,735,1.0792624618771953,1.4274908759486198,-0.6863576013906569,4.689916915591651e-93,3.517437686693738e-91,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,1,rf,497,735,1.0637459495934989,0.9941917275260781,0.48643698928263457,1.1783090293811199e-47,5.655883341029375e-46,True,xuôi tốn hơn,True
E1->E3,E3->E1,N2,1,xgb,497,735,1.032436474206033,1.5879118087188406,-0.7254273942977594,1.0040860728119023e-103,8.33391440433879e-102,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,1,svr,497,735,0.9836626647020349,1.214809664907605,-0.9383073953927648,3.4264133867499386e-172,3.974639528629929e-170,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,6,lr,497,735,1.0245952481878513,1.0941091435414196,-0.1577327913056571,2.571777715859027e-06,4.8863776601321516e-05,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,6,ridge,497,735,1.0245813514763287,1.0939479760658,-0.15746451498104275,2.6744668320098962e-06,4.8863776601321516e-05,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,6,rf,497,735,1.0100425554749308,1.0980560054860862,-0.40253767502977045,3.525443853206843e-33,1.480686418346874e-31,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,6,xgb,497,735,1.0188511579346833,1.1035909643381019,-0.29691345351017673,8.619373558981967e-19,2.844393274464049e-17,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,6,svr,497,735,1.0251553784421004,1.0158159503413107,0.023873855377160913,0.47667415768498855,1.0,False,không khác,True
E1->E3,E3->E1,N2,12,lr,497,735,0.9959940118241186,1.1425252091836302,-0.954294474328967,4.874417340610745e-178,5.898044982139001e-176,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,12,ridge,497,735,0.9959990939824757,1.1425291779319882,-0.954190448815341,5.324625442212336e-178,6.389550530654804e-176,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,12,rf,497,735,1.0120855397936923,1.0323771330305425,-0.18912112128553638,1.7191151817557e-08,4.2977879543892506e-07,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,12,xgb,497,735,1.0188599935552523,1.079001757468724,-0.24083275161171114,6.981996041291903e-13,2.0247788519746518e-11,True,ngược tốn hơn,True
E1->E3,E3->E1,N2,12,svr,497,735,0.9945870474882902,0.9992976329934306,-0.1576725660082947,2.594495372713454e-06,4.8863776601321516e-05,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,1,lr,497,302,1.0695631677962232,2.2107629944803584,-0.8500539661811931,1.9103379162055713e-90,1.318133162181844e-88,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,1,ridge,497,302,1.0694413111848242,2.216000140373204,-0.8508534651618319,1.3016639950776969e-90,9.111647965543878e-89,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,1,rf,497,302,1.0812380019694003,2.7204520186515446,-0.9114821378602742,1.0608868941720398e-103,8.699272532210726e-102,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,1,xgb,497,302,1.118776936368699,2.8274686184070363,-0.9866616920063427,3.5501697192566924e-121,3.4081629304864246e-119,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,1,svr,497,302,1.0677076757355197,1.6312752801512134,-0.8414726771223366,1.1470703917268154e-88,7.685371624569663e-87,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,6,lr,497,302,1.0482026559378512,3.421327999828022,-0.7803110051034685,1.642091341113493e-76,1.0016757180792307e-74,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,6,ridge,497,302,1.0482310256702652,3.4247718491992956,-0.7803776300185217,1.5946002643911057e-76,9.886521639224856e-75,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,6,rf,497,302,1.0881555325462051,1.8331516028550014,-0.7734353138699748,3.348987728394034e-75,2.0093926370364204e-73,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,6,xgb,497,302,1.0937262878807232,4.045304375264904,-0.8577558063613469,4.673112222365606e-92,3.31790967787958e-90,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,6,svr,497,302,1.105291241387765,2.1768184800473405,-0.9349341079590123,5.275413921335412e-109,4.695118389988517e-107,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,12,lr,497,302,1.0302981116152994,3.4222471701668997,-0.8100923421322638,2.5722384939442915e-82,1.6976774060032325e-80,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,12,ridge,497,302,1.0302669852927953,3.4267780816194096,-0.8093594680666782,3.595510461540307e-82,2.3370818000011994e-80,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,12,rf,497,302,1.1269907762400406,1.7041909081832207,-0.6212506829053792,3.636563298311351e-49,1.781916016172562e-47,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,12,xgb,497,302,1.1286514676481134,3.6006846726918935,-0.751928791290791,3.5202579171137488e-71,2.0417495919259744e-69,True,ngược tốn hơn,True
E2->E3,E3->E2,N0,12,svr,497,302,1.0703989958011584,2.818512144323389,-0.9210494756619185,7.556491098109891e-106,6.423017433393407e-104,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,1,lr,497,302,0.6854342368984209,1.8879560508583033,-0.9889402641011633,9.978531053860733e-122,9.679175122244911e-120,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,1,ridge,497,302,0.6851261823004638,1.8988984600883265,-0.9889669140671845,9.831336003971695e-122,9.634709283892261e-120,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,1,rf,497,302,1.0777976087704269,1.3522022054647151,-0.6296720721681079,1.8508108204761543e-50,9.254054102380772e-49,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,1,xgb,497,302,0.8382635001240771,14.854099781603573,-0.9864751422441936,3.938393115911848e-121,3.741473460116256e-119,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,1,svr,497,302,0.8932971505841643,1.409800153461544,-0.9199568270550456,1.3325698343131145e-105,1.1193586608230162e-103,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,6,lr,497,302,0.23973736467416273,5.7759452535970475,-0.9999333750849467,2.099195246644027e-124,2.1621711040433478e-122,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,6,ridge,497,302,0.2394916294796385,5.743806468251101,-0.9999333750849467,2.099195246644027e-124,2.1621711040433478e-122,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,6,rf,497,302,1.0703694564092143,1.811692797516911,-0.9240076218902821,1.6212778956999863e-106,1.3942989903019882e-104,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,6,xgb,497,302,0.7856286667279962,25.154571285311228,-0.9976148280410942,7.746636710358948e-124,7.746636710358948e-122,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,6,svr,497,302,0.8636713356704128,1.8805811160789734,-0.9905259370794303,4.118580937017158e-122,4.077395127646986e-120,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,12,lr,497,302,0.1510886002759078,9.027494093502272,-1.0,2.0218019365541918e-124,2.1228920333819012e-122,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,12,ridge,497,302,0.15103677022623813,9.028615218193671,-1.0,2.0218019365541918e-124,2.1228920333819012e-122,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,12,rf,497,302,1.0392704299679556,3.7870644297444738,-0.9527362852612363,4.0448638507087794e-113,3.640377465637902e-111,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,12,xgb,497,302,0.568385960805823,52.81566243543525,-0.9988673764440951,3.8276581510461425e-124,3.865934732556604e-122,True,ngược tốn hơn,True
E2->E3,E3->E2,N1,12,svr,497,302,1.0718698121904522,1.3307124688702738,-0.7368715604887603,1.97311696211844e-68,1.1246766684075108e-66,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,1,lr,497,302,1.0821329535223008,1.671824053821,-0.7247058510000399,2.989222393488546e-66,1.6739645403535858e-64,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,1,ridge,497,302,1.0821460352202485,1.6717801099920435,-0.7246392260849868,3.0718487585767195e-66,1.6895168172171957e-64,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,1,rf,497,302,1.0538349289399533,0.990431353123423,0.3351099977347529,1.8626580167340016e-15,5.774239851875405e-14,True,xuôi tốn hơn,True
E2->E3,E3->E2,N2,1,xgb,497,302,1.0325733006316213,1.5862831637033343,-0.805521872959612,2.0665604687806053e-81,1.3225987000195874e-79,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,1,svr,497,302,0.9978966543016129,1.2634244573567521,-0.8892827161645369,8.36043198829077e-99,6.604741270749709e-97,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,6,lr,497,302,0.9875846779367846,1.130213815424284,-0.9052726957773128,2.555077730979566e-102,2.0696129620934485e-100,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,6,ridge,497,302,0.9875822047266788,1.1299090707550214,-0.9052193958452703,2.6255711532502925e-102,2.100456922600234e-100,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,6,rf,497,302,1.0104915609764304,1.0516569240423088,-0.39932309086305917,2.7039367396480053e-21,1.0004565936697619e-19,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,6,xgb,497,302,1.0079566177646484,1.1532661724761435,-0.5329326955108132,1.2166020682838891e-36,5.231388893620723e-35,True,ngược tốn hơn,True
E2->E3,E3->E2,N2,6,svr,497,302,1.0007562485715478,1.037460183102634,-0.4408570629072448,1.3330956470646935e-25,5.1990730235523046e-24,True,ngược tốn hơn,True
