ma,du_doan,so_do,ket_qua,ban
P1,"E1, E2: N1 tốt hơn N0 ở ≥ 8/15 phép, mỗi môi trường","E1 9/15, E2 8/15",đúng,độ nhạy QĐ-018
P2,E3: N2 tệ hơn N0 ở ≥ 8/15 phép,9/15,đúng,độ nhạy QĐ-018
P3,"E1↔E2 ở N1: trung vị L trong [0,95; 1,10], cả hai chiều","E1->E2 1.000, E2->E1 1.063",đúng,độ nhạy QĐ-018
P4,"Bitbrains↔Alibaba ở N2: trung vị L trong [0,95; 1,25], cả 4 cặp","E1->E3 1.019, E3->E1 1.098, E2->E3 1.008, E3->E2 1.098",đúng,độ nhạy QĐ-018
P5,N1: Alibaba→Bitbrains tốn hơn ở ≥ 20/30 phép,28/30,đúng,độ nhạy QĐ-018
P6,N2: không chiều nào thắng quá 20/30 phép,"xuôi tốn hơn 3, ngược tốn hơn 26",sai,độ nhạy QĐ-018
P7,"D2 ở N1: tái hiện (gộp→đơn lẻ tốn hơn ≥ 10/15, 0 phép ngược lại)","gộp→đơn lẻ tốn hơn 8/15, đơn lẻ→gộp tốn hơn 4/15 → không kết luận",sai,độ nhạy QĐ-018
S1,T-D1a E3: N1 tệ hơn N0 ở ≤ 7/15 phép,3/15,đúng,dự đoán QĐ-018
S2,"T-D1b E3→E1, E3→E2 ở N1: trung vị L < 1,5","E3->E1 1.332, E3->E2 1.235",đúng,dự đoán QĐ-018
S3,"T-D1b E1→E3, E2→E3 ở N1: trung vị L ≥ 0,95","E1->E3 1.032, E2->E3 1.044",đúng,dự đoán QĐ-018
S4,P5 vẫn đúng dưới bản độ nhạy,P5 = đúng,đúng,dự đoán QĐ-018
S5,"P1, P3 giữ nguyên chấm","P1 đúng→đúng, P3 đúng→đúng",đúng,dự đoán QĐ-018
