xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,ti_so_p50_xuoi,ti_so_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan
E1->E3,E3->E1,N0,1,lr,497,730,1.007984512291106,3.1286276135991704,-0.9382321325211543,1.0750804250370326e-171,1.2685949015436985e-169,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,1,ridge,497,730,1.0078391993285043,3.134605141345564,-0.9385628841542405,8.162329116063546e-172,9.713171648115619e-170,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,1,rf,497,730,1.0020883232462734,2.776480918469956,-0.9183263967365839,1.4241432179303534e-164,1.65200613279921e-162,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,1,xgb,497,730,1.0004855527754073,3.014514740336055,-0.9668697114192001,3.295508971182548e-182,4.218251483113662e-180,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,1,svr,497,730,0.993601378566016,1.7266112524944708,-0.7375540916733276,7.258218872058907e-107,6.387232607411839e-105,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,6,lr,497,730,0.875613012104477,6.593491857463372,-0.941638874341942,6.2700362621783634e-173,7.58674387723582e-171,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,6,ridge,497,730,0.8756130114378832,6.597523548706905,-0.9417325873046498,5.797720982566715e-173,7.073219598731393e-171,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,6,rf,497,730,0.8975524084181585,1.8796276245908938,-0.8676442214933436,3.977448537249242e-147,4.176320964111704e-145,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,6,xgb,497,730,0.9015188559341583,4.02823856789444,-0.9568203743005981,1.7505535586129425e-178,2.2056974838523074e-176,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,6,svr,497,730,0.8932533639282624,2.0661476226322857,-0.9564896226675119,2.3180556349646363e-178,2.8975695437057953e-176,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,12,lr,497,730,0.9378289419103918,8.639321474611199,-0.902351092858521,5.743957687487568e-159,6.3757930331112e-157,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,12,ridge,497,730,0.9378289183543764,8.650242588348696,-0.9026983820732615,4.3490289251333056e-159,4.870912396149302e-157,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,12,rf,497,730,0.9540175523625606,2.0594434305552385,-0.8801356081695654,2.462915897622555e-151,2.6599491694323597e-149,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,12,xgb,497,730,0.9698258898182884,3.6053814141359037,-0.9105978335768032,7.546053014062483e-162,8.602500436031231e-160,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N0,12,svr,497,730,0.9244982043355147,2.2589481170453487,-0.960712218516579,6.383950756310431e-180,8.107617460514248e-178,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,1,lr,497,730,0.9515639711132913,1.5347207061503252,-0.9767646977756953,6.485586170697822e-186,8.431262021907169e-184,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,1,ridge,497,730,0.9515931090606664,1.5394192453621793,-0.9768914859017116,5.810572948601013e-186,7.611850562667327e-184,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,1,rf,497,730,0.9987389928197767,1.2525703162152189,-0.32239464182354405,8.143336889378539e-22,3.8273683380079134e-20,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,1,xgb,497,730,0.9923404164751859,8.248119193349188,-0.9159725476144538,9.675441349182064e-164,1.1126757551559374e-161,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,1,svr,497,730,1.0234413641558644,1.4320636086790755,-0.5090653510101706,6.960960632663447e-52,3.828528347964896e-50,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,6,lr,497,730,0.8575577275134267,3.2058998158552843,-0.9861249689920344,1.868936751272442e-189,2.4856858791923477e-187,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,6,ridge,497,730,0.8575576988174735,3.1940388194681653,-0.9859871558115818,2.1084548436200585e-189,2.783160393578477e-187,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,6,rf,497,730,0.8855581948051218,1.7413645798869677,-0.8008764918276784,1.190345746695751e-125,1.2379595765635812e-123,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,6,xgb,497,730,0.8915588535816309,15.17058627981288,-0.9398638405777129,2.75977559769406e-172,3.3117307172328718e-170,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,6,svr,497,730,0.9106344113458351,2.2779635881987392,-0.8952068575838593,1.7153095184972615e-156,1.869687375162015e-154,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,12,lr,497,730,0.8920952196381092,4.56265478150239,-0.989901050136435,6.820615790468616e-191,9.207831317132631e-189,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,12,ridge,497,730,0.8920952127801289,4.56049099126306,-0.9898955376092169,6.853722524023665e-191,9.207831317132631e-189,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,12,rf,497,730,0.9228750434376415,3.3589901364404358,-0.9021471293514511,6.763115035151946e-159,7.43942653866714e-157,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,12,xgb,497,730,0.9427602340163872,18.637409983316083,-0.9682698933325984,9.903719476995162e-183,1.2775798125323759e-180,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N1,12,svr,497,730,0.9474900982360498,1.4785338920214115,-0.5855075659436069,4.768916993900868e-68,2.956728536218538e-66,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,1,lr,497,730,1.0187084698592677,2.0178701263995467,-0.8796174306110637,3.69154324186361e-151,3.913035836375427e-149,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,1,ridge,497,730,1.0187172203639445,2.017964044389246,-0.879633968192718,3.644183559146874e-151,3.899276408287155e-149,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,1,rf,497,730,0.9904011775644117,1.097974635910891,-0.7092748270444585,5.6564908362111215e-99,4.242368127158341e-97,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,1,xgb,497,730,0.9665925488482771,1.7570641769868474,-0.9248256663267275,6.997055945610944e-167,8.186555456364805e-165,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,1,svr,497,730,0.9504741508102653,1.196258799297949,-0.9076541440423362,8.114728973352067e-161,9.169643739887835e-159,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,6,lr,497,730,1.023842629937041,1.1758294084235883,-0.5423334527714231,1.211463283618211e-58,7.026487044985623e-57,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,6,ridge,497,730,1.023842628730487,1.1756485518693074,-0.5418318127945756,1.5430637148631675e-58,8.641156803233738e-57,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,6,rf,497,730,1.0065284180065557,1.1284994511565838,-0.7968082467407183,2.1323825570010433e-124,2.1963540337110745e-122,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,6,xgb,497,730,1.0194904803251754,1.2235401469141738,-0.7592348612221272,4.0037650826157237e-113,3.723501526832623e-111,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,6,svr,497,730,1.023976845246781,1.0925012280912236,-0.3739588214216808,8.643355281691506e-29,4.1488105352119224e-27,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,12,lr,497,730,1.0048208934083922,1.194574989110556,-0.9427248422039084,2.5288045680738604e-173,3.135717664411587e-171,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,12,ridge,497,730,1.0048208928369193,1.1945734684866873,-0.9426972795678179,2.5877950613362613e-173,3.1829879254436017e-171,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,12,rf,497,730,1.0142576389311289,1.0836290226062042,-0.4474187591301232,1.7650049439609289e-40,9.354526202992924e-39,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,12,xgb,497,730,1.024325058988522,1.2469763842974322,-0.5866376340233179,2.646344168682427e-68,1.667196826269929e-66,True,chiều xuôi dễ hơn
E1->E3,E3->E1,N2,12,svr,497,730,1.0083267762252328,1.0651954408727504,-0.5802100272870097,7.428538640769233e-67,4.531408570869232e-65,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,1,lr,497,302,1.0107071361789879,2.872411918390277,-0.9146135088677761,2.1149689976389378e-104,1.7554242680403184e-102,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,1,ridge,497,302,1.0107071817817908,2.878914128044224,-0.9149333084600317,1.793257882864988e-104,1.50633662160659e-102,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,1,rf,497,302,1.0222422736855696,2.929799705046827,-0.8391008301464415,3.531751015674415e-88,2.4015906906586025e-86,True,chiều xuôi dễ hơn
E2->E3,E3->E2,N0,1,xgb,497,302,1.0436436908163587,2.9815362150263875,-0.9427292230202406,8.506773006015048e-111,7.741163435473693e-109,True,chiều xuôi dễ hơn
