nguon,dich,h,model,so_sanh,n_chuoi,mae_p50_N0,mae_p50_Nk,hieu_p50,n_tot_hon_N0,p,p_holm,co_y_nghia,ket_luan
E1,E2,1,lr,N1_vs_N0,302,0.5159256357401791,0.4059527688150857,-0.04032465911406595,203,0.6998632817117734,1.0,False,không khác
E1,E2,1,lr,N2_vs_N0,302,0.5159256357401791,0.492387045164406,0.0030377517891509546,129,0.0645279172597553,0.2860871961846767,False,không khác
E1,E2,1,rf,N1_vs_N0,302,0.42363043297761094,0.35858502188924246,-0.010921195899926253,182,0.4626637173139899,1.0,False,không khác
E1,E2,1,rf,N2_vs_N0,302,0.42363043297761094,0.44761767876250713,0.02638811896500496,87,1.5684596388329963e-13,1.4116136749496967e-12,True,tệ hơn N0
E1,E2,1,ridge,N1_vs_N0,302,0.516034575225095,0.40597185789478896,-0.04015886941641911,203,0.6998632817117734,1.0,False,không khác
E1,E2,1,ridge,N2_vs_N0,302,0.516034575225095,0.49238907422921,0.003058041055846644,129,0.056591108594897015,0.2860871961846767,False,không khác
E1,E2,1,svr,N1_vs_N0,302,0.376087604487788,0.3756361449869877,0.014415173333053144,110,9.099103089199544e-15,9.099103089199543e-14,True,tệ hơn N0
E1,E2,1,svr,N2_vs_N0,302,0.376087604487788,0.37305134414077123,0.0022776697461611498,138,0.037560381910406455,0.2629226733728452,False,không khác
E1,E2,1,xgb,N1_vs_N0,302,0.4463919726033004,0.4038013511092176,-0.00911297313383394,169,0.04768119936411278,0.2860871961846767,False,không khác
E1,E2,1,xgb,N2_vs_N0,302,0.4463919726033004,0.4318194010857622,0.01513637625531615,104,0.00021616605191079912,0.001729328415286393,True,tệ hơn N0
E1,E2,6,lr,N1_vs_N0,302,0.7085551811807178,0.4867739160185708,-0.24265507364468739,242,3.3125880159045415e-12,2.6500704127236332e-11,True,tốt hơn N0
E1,E2,6,lr,N2_vs_N0,302,0.7085551811807178,0.5145592718089294,-0.2392054256190299,271,6.779904949935278e-34,6.779904949935278e-33,True,tốt hơn N0
E1,E2,6,rf,N1_vs_N0,302,0.5979106114437589,0.41604215049153737,-0.05929335487608096,231,1.505838743154906e-10,9.035032458929437e-10,True,tốt hơn N0
E1,E2,6,rf,N2_vs_N0,302,0.5979106114437589,0.4966727324945257,-0.0130445978975747,168,0.0002428305389218869,0.0004856610778437738,True,tốt hơn N0
E1,E2,6,ridge,N1_vs_N0,302,0.7085551807906604,0.4867738963072904,-0.24265509888442055,242,3.3125880159045415e-12,2.6500704127236332e-11,True,tốt hơn N0
E1,E2,6,ridge,N2_vs_N0,302,0.7085551807906604,0.5145592692998338,-0.23920545167546997,271,6.779904949935278e-34,6.779904949935278e-33,True,tốt hơn N0
E1,E2,6,svr,N1_vs_N0,302,0.39608277555377386,0.411734988651783,0.006931803089241323,138,0.00012030529877499614,0.0003609158963249884,True,tệ hơn N0
E1,E2,6,svr,N2_vs_N0,302,0.39608277555377386,0.5128764440610012,0.0464266367183447,81,4.131369356273688e-06,1.6525477425094754e-05,True,tệ hơn N0
E1,E2,6,xgb,N1_vs_N0,302,0.6137498219741354,0.4493282143664355,-0.055078433456180256,232,1.3121832690443273e-08,6.560916345221636e-08,True,tốt hơn N0
E1,E2,6,xgb,N2_vs_N0,302,0.6137498219741354,0.5338720093558609,0.002204609957859399,144,0.5444644225298887,0.5444644225298887,False,không khác
E1,E2,12,lr,N1_vs_N0,302,0.9477934036916034,0.4922685765465425,-0.45435942044660427,256,2.045432680315121e-16,1.6363461442520967e-15,True,tốt hơn N0
E1,E2,12,lr,N2_vs_N0,302,0.9477934036916034,0.48739174331356344,-0.4741020394354074,279,3.4800900857564947e-37,3.4800900857564946e-36,True,tốt hơn N0
E1,E2,12,rf,N1_vs_N0,302,0.679749856666776,0.44377840701945226,-0.082699535756645,233,1.7508955526209336e-10,7.793555471466843e-10,True,tốt hơn N0
E1,E2,12,rf,N2_vs_N0,302,0.679749856666776,0.4924707363576515,-0.03982370565524219,214,2.2335601680610238e-11,1.3401361008366142e-10,True,tốt hơn N0
E1,E2,12,ridge,N1_vs_N0,302,0.9477933793608636,0.49226857781850164,-0.4543594234053529,256,2.045432680315121e-16,1.6363461442520967e-15,True,tốt hơn N0
E1,E2,12,ridge,N2_vs_N0,302,0.9477933793608636,0.4873917391149637,-0.4741020617795817,279,3.4800900857564947e-37,3.4800900857564946e-36,True,tốt hơn N0
E1,E2,12,svr,N1_vs_N0,302,0.40230348618633927,0.3925261993682213,-0.00751413985743031,172,0.7622373336196754,0.7622373336196754,False,không khác
E1,E2,12,svr,N2_vs_N0,302,0.40230348618633927,0.5006963427340647,0.026991173530782002,121,0.01049888055848347,0.02099776111696694,True,tệ hơn N0
E1,E2,12,xgb,N1_vs_N0,302,0.6762410056328385,0.47275637171147944,-0.09480554834789515,234,1.5587110942933687e-10,7.793555471466843e-10,True,tốt hơn N0
E1,E2,12,xgb,N2_vs_N0,302,0.6762410056328385,0.5296250573773396,-0.026202380702411404,194,9.048713262870872e-06,2.7146139788612618e-05,True,tốt hơn N0
E1,E3,1,lr,N1_vs_N0,497,4.3385376782510185,4.137102546833611,-0.21088578775872158,408,8.121317868209456e-45,5.684922507746619e-44,True,tốt hơn N0
