nguon,dich,mode,lich,h,model,mae_transfer,mae_trong_moi_truong,chi_phi
E1,E2,N0,khong,1,lr,0.5230375811112855,0.5107474132441241,1.0240631034998253
E1,E3,N0,khong,1,lr,4.326101743696819,4.0845195131487575,1.059145813790427
E1,E2,N0,khong,1,ridge,0.5231552547245559,0.5107622627249901,1.0242637189628054
E1,E3,N0,khong,1,ridge,4.325897616609904,4.084656747656928,1.0590602549630046
E1,E2,N0,khong,6,lr,0.7429011005465145,0.9005310685653591,0.8249588786870332
E1,E3,N0,khong,6,lr,5.654772190630483,5.632613709852007,1.0039339606654933
E1,E2,N0,khong,6,ridge,0.7429011110619079,0.9005599465787686,0.8249324366292247
E1,E3,N0,khong,6,ridge,5.654772158321164,5.632114278350038,1.004022979444544
E1,E2,N0,khong,12,lr,1.0162294802006298,1.1959112097612068,0.8497532859513417
E1,E3,N0,khong,12,lr,6.46225956554657,6.433363950917596,1.004491524939274
E1,E2,N0,khong,12,ridge,1.0162295036574218,1.1958359114803483,0.8498068120394643
E1,E3,N0,khong,12,ridge,6.462259407381908,6.432868962632703,1.004568792698861
E1,E2,N1,khong,1,lr,0.4003573638784303,0.5107474132441241,0.7838656711650731
E1,E3,N1,khong,1,lr,4.132510083844508,4.0845195131487575,1.0117493797107007
E1,E2,N1,khong,1,ridge,0.4003595269474541,0.5107622627249901,0.7838471166829719
E1,E3,N1,khong,1,ridge,4.132263607367406,4.084656747656928,1.0116550453689375
E1,E2,N1,khong,6,lr,0.4847912113825982,0.9005310685653591,0.5383392403717082
E1,E3,N1,khong,6,lr,5.561623833928954,5.632613709852007,0.9873966368758994
E1,E2,N1,khong,6,ridge,0.484791188646009,0.9005599465787686,0.5383219523450193
E1,E3,N1,khong,6,ridge,5.5616235402973455,5.632114278350038,0.9874841427980856
E1,E2,N1,khong,12,lr,0.4911272984632334,1.1959112097612068,0.410672041916305
E1,E3,N1,khong,12,lr,6.235689002450884,6.433363950917596,0.9692734703065388
E1,E2,N1,khong,12,ridge,0.4911272992552683,1.1958359114803483,0.4106979013929197
E1,E3,N1,khong,12,ridge,6.235688941381411,6.432868962632703,0.9693480432452964
E1,E2,N2,khong,1,lr,0.4867720356086997,0.5107474132441241,0.9530582495109676
E1,E3,N2,khong,1,lr,4.363493993187956,4.0845195131487575,1.0683004400251077
E1,E2,N2,khong,1,ridge,0.486770151161575,0.5107622627249901,0.9530268516013424
E1,E3,N2,khong,1,ridge,4.363518227744664,4.084656747656928,1.068270480805443
E1,E2,N2,khong,6,lr,0.5142277320435589,0.9005310685653591,0.5710271971657545
E1,E3,N2,khong,6,lr,6.664017195914536,5.632613709852007,1.183112767747325
E1,E2,N2,khong,6,ridge,0.5142277294850621,0.9005599465787686,0.5710088833493158
E1,E3,N2,khong,6,ridge,6.664017201143183,5.632114278350038,1.1832176819919655
E1,E2,N2,khong,12,lr,0.4836930916953677,1.1959112097612068,0.40445568847201374
E1,E3,N2,khong,12,lr,7.081532266475622,6.433363950917596,1.100751072145635
E1,E2,N2,khong,12,ridge,0.4836930866972808,1.1958359114803483,0.40448115168117654
E1,E3,N2,khong,12,ridge,7.081532265420999,6.432868962632703,1.1008357711864265
E2,E1,N0,khong,1,lr,0.5129208888494448,0.5508031015451244,0.9312236757755873
E2,E3,N0,khong,1,lr,4.369963975114874,4.0845195131487575,1.0698844652467012
E2,E1,N0,khong,1,ridge,0.5129209629902949,0.5510983478127187,0.9307249151191472
E2,E3,N0,khong,1,ridge,4.369964188280308,4.084656747656928,1.0698485719239543
E2,E1,N0,khong,6,lr,0.8706815997847563,0.8781132901285866,0.9915367522307491
E2,E3,N0,khong,6,lr,5.853852100476798,5.632613709852007,1.0392781046280208
E2,E1,N0,khong,6,ridge,0.8706815638624326,0.8783373546507118,0.9912837695587662
E2,E3,N0,khong,6,ridge,5.853851956881243,5.632114278350038,1.0393702378134566
E2,E1,N0,khong,12,lr,1.148476371563797,1.0489235994031263,1.0949094597712545
E2,E3,N0,khong,12,lr,6.552819602549198,6.433363950917596,1.0185681476351984
E2,E1,N0,khong,12,ridge,1.148476377925684,1.0489916305433542,1.0948384567480285
E2,E3,N0,khong,12,ridge,6.552819873433678,6.432868962632703,1.0186465652413792
E2,E1,N1,khong,1,lr,0.4171252781644137,0.5508031015451244,0.7573037933052394
E2,E3,N1,khong,1,lr,4.284182816425216,4.0845195131487575,1.0488829353449551
E2,E1,N1,khong,1,ridge,0.4171252761944401,0.5510983478127187,0.7568980706438135
E2,E3,N1,khong,1,ridge,4.284182841135952,4.084656747656928,1.048847701485193
E2,E1,N1,khong,6,lr,0.4588646646232461,0.8781132901285866,0.5225574761043101
E2,E3,N1,khong,6,lr,5.669153027645159,5.632613709852007,1.0064870981173875
E2,E1,N1,khong,6,ridge,0.4588646626767245,0.8783373546507118,0.5224241690815952
E2,E3,N1,khong,6,ridge,5.669152961643878,5.632114278350038,1.0065763373154941
E2,E1,N1,khong,12,lr,0.4832947316647549,1.0489235994031263,0.460753034767991
E2,E3,N1,khong,12,lr,6.460327344390032,6.433363950917596,1.0041911811111806
E2,E1,N1,khong,12,ridge,0.4832947408102329,1.0489916305433542,0.46072316188061196
E2,E3,N1,khong,12,ridge,6.460327327865313,6.432868962632703,1.00426844777845
E2,E1,N2,khong,1,lr,0.4808787996793033,0.5508031015451244,0.8730502757343451
E2,E3,N2,khong,1,lr,4.387248057144467,4.0845195131487575,1.0741160724097842
E2,E1,N2,khong,1,ridge,0.4808788093502268,0.5510983478127187,0.8725825639993484
E2,E3,N2,khong,1,ridge,4.387248046947266,4.084656747656928,1.074079982232023
E2,E1,N2,khong,6,lr,0.5065634891888847,0.8781132901285866,0.5768771465862975
E2,E3,N2,khong,6,lr,6.404369588538898,5.632613709852007,1.1370155878676738
E2,E1,N2,khong,6,ridge,0.5065634678417096,0.8783373546507118,0.5767299604867135
E2,E3,N2,khong,6,ridge,6.404369683115723,5.632114278350038,1.1371164302781018
E2,E1,N2,khong,12,lr,0.5031164260421154,1.0489235994031263,0.4796502112531418
