nguon,dich,mode,lich,h,model,metric,p25,p50,p75,iqr,n_chuoi,n_loai,n_dong_test
E1,E2,N0,co,1,lr,mae,0.189708515452067,0.5159256357401791,2.201503247446155,2.011794731994088,302,0,104492
E1,E2,N0,co,1,lr,rmse,0.3723407618085166,1.1193225786296708,5.158570828398817,4.7862300665903,302,0,104492
E1,E2,N0,co,1,lr,smape,7.441520940211529,15.532780628556736,32.30696193028578,24.86544099007425,302,0,104492
E1,E2,N0,co,1,lr,mase,1.0519425958861857,1.2598220930208888,2.1467550652929424,1.0948124694067567,302,0,104492
E1,E2,N0,co,1,lr,r2,-0.8837726628476497,-0.0852949614711301,0.6155915670041865,1.499364229851836,302,0,104492
E1,E3,N0,co,1,lr,mae,4.083976368246924,4.3385376782510185,4.596930645690283,0.5129542774433586,497,1,171716
E1,E3,N0,co,1,lr,rmse,5.420371849019442,5.787382959771231,6.143174480698526,0.7228026316790839,497,1,171716
E1,E3,N0,co,1,lr,smape,9.302419366016736,10.80508489754306,12.677985517132475,3.3755661511157395,497,1,171716
E1,E3,N0,co,1,lr,mase,0.9349858644849662,0.9850297069583054,1.0420329147450345,0.1070470502600682,497,1,171716
E1,E3,N0,co,1,lr,r2,0.6329249626923024,0.6770847585669514,0.846356912197633,0.2134319495053306,497,1,171716
E1,E2,N0,co,1,ridge,mae,0.1896185635695305,0.516034575225095,2.2019348640176872,2.012316300448157,302,0,104492
E1,E2,N0,co,1,ridge,rmse,0.372897740297949,1.1194141217086486,5.158206579912337,4.785308839614388,302,0,104492
E1,E2,N0,co,1,ridge,smape,7.437891621466688,15.529822991960474,32.3084971737883,24.870605552321607,302,0,104492
E1,E2,N0,co,1,ridge,mase,1.051834393842068,1.2596833439244293,2.1462453298542106,1.0944109360121426,302,0,104492
E1,E2,N0,co,1,ridge,r2,-0.8838521126251201,-0.0849944234630082,0.6156769652569046,1.4995290778820247,302,0,104492
E1,E3,N0,co,1,ridge,mae,4.084026639943284,4.338376167336825,4.597679563782224,0.51365292383894,497,1,171716
E1,E3,N0,co,1,ridge,rmse,5.419249961280944,5.787092418250667,6.142396101828,0.7231461405470556,497,1,171716
E1,E3,N0,co,1,ridge,smape,9.30036725124176,10.802900841602495,12.676958272402077,3.376591021160316,497,1,171716
E1,E3,N0,co,1,ridge,mase,0.934903859929388,0.985210846672658,1.0419586459590156,0.1070547860296274,497,1,171716
E1,E3,N0,co,1,ridge,r2,0.6329952757646946,0.6772160753424747,0.8464104817713006,0.213415206006606,497,1,171716
E1,E2,N0,co,1,ma6,mae,0.1538527043765483,0.4099831406551059,2.672728862739701,2.518876158363153,302,0,104492
E1,E2,N0,co,1,ma6,rmse,0.2909994948619503,1.0725498450752826,6.942744540006254,6.651745045144304,302,0,104492
E1,E2,N0,co,1,ma6,smape,5.641191225657653,12.64980019928802,27.62023059027881,21.979039364621155,302,0,104492
E1,E2,N0,co,1,ma6,mase,0.7833682804904883,1.131888108743642,2.344000779279049,1.5606324987885607,302,0,104492
E1,E2,N0,co,1,ma6,r2,-0.2019030212423998,-0.0653761582364315,0.351984499613185,0.5538875208555849,302,0,104492
E1,E2,N0,co,1,naive,mae,0.1493514313239746,0.4140311037709882,1.5524841728598957,1.403132741535921,302,0,104492
E1,E2,N0,co,1,naive,rmse,0.3539186649903049,1.1163320988389458,4.616851088334903,4.262932423344598,302,0,104492
E1,E2,N0,co,1,naive,smape,5.133720752279617,10.84516067824362,19.90302285768643,14.769302105406814,302,0,104492
E1,E2,N0,co,1,naive,mase,0.8403180781954053,1.0366111468479566,1.5005089953693287,0.6601909171739234,302,0,104492
E1,E2,N0,co,1,naive,r2,-0.7968314539756255,-0.0710302374440685,0.628646891282471,1.4254783452580964,302,0,104492
E1,E2,N0,co,1,seasonal,mae,0.2314349366914395,0.5996881881365262,3.6570247691454334,3.4255898324539946,302,0,104492
E1,E2,N0,co,1,seasonal,rmse,0.4327348549244975,1.310730097897849,8.944734444010859,8.511999589086361,302,0,104492
E1,E2,N0,co,1,seasonal,smape,9.607966616482017,18.94994804382252,46.64013501517019,37.03216839868817,302,0,104492
E1,E2,N0,co,1,seasonal,mase,1.0312831008141004,1.736112451523507,3.617974395622676,2.586691294808576,302,0,104492
E1,E2,N0,co,1,seasonal,r2,-1.4779786944172528,-0.8953840406387032,-0.2338242989170905,1.2441543955001624,302,0,104492
E1,E3,N0,co,1,ma6,mae,4.749803650062228,5.06576629737134,5.343694565525287,0.5938909154630592,497,1,171716
E1,E3,N0,co,1,ma6,rmse,6.347088849648669,6.772582280674524,7.410380823881188,1.063291974232519,497,1,171716
E1,E3,N0,co,1,ma6,smape,10.945167820801773,12.56061533204126,14.442267785000892,3.497099964199121,497,1,171716
E1,E3,N0,co,1,ma6,mase,1.0843291373453352,1.1560797778025578,1.2165569325330636,0.1322277951877284,497,1,171716
