nguon,dich,h,model,n_chuoi,hieu_p50_N2_tru_N1,p,p_holm,co_y_nghia,ket_luan,nhom,hau_kiem
E1,E2,1,lr,302,0.04460994297366225,0.6790080618416451,1.0,False,không khác,chi Bitbrains,True
E1,E2,1,rf,302,0.030195544481574396,0.16747030445695232,0.6698812178278093,False,không khác,chi Bitbrains,True
E1,E2,1,ridge,302,0.0445670032932857,0.6799727925990459,1.0,False,không khác,chi Bitbrains,True
E1,E2,1,svr,302,-0.007965969072803745,2.9369842134437537e-10,1.4684921067218769e-09,True,N2 tốt hơn N1,chi Bitbrains,True
E1,E2,1,xgb,302,0.019277058574519786,0.45866194963736573,1.0,False,không khác,chi Bitbrains,True
E1,E2,6,lr,302,0.027004125401788946,0.8082937088334544,1.0,False,không khác,chi Bitbrains,True
E1,E2,6,rf,302,0.03519266952354412,0.0558272820258294,0.1674818460774882,False,không khác,chi Bitbrains,True
E1,E2,6,ridge,302,0.027004124215539847,0.8082937088334544,1.0,False,không khác,chi Bitbrains,True
E1,E2,6,svr,302,0.03953609560523789,0.011321577229942892,0.046197315745632836,True,N1 tốt hơn N2,chi Bitbrains,True
E1,E2,6,xgb,302,0.05194400717878925,0.009239463149126567,0.046197315745632836,True,N1 tốt hơn N2,chi Bitbrains,True
E1,E2,12,lr,302,0.008344640652923702,0.6221344628504841,1.0,False,không khác,chi Bitbrains,True
E1,E2,12,rf,302,0.03518503870850227,0.008340628654792565,0.029498078092611364,True,N1 tốt hơn N2,chi Bitbrains,True
E1,E2,12,ridge,302,0.008344641446388558,0.6221344628504841,1.0,False,không khác,chi Bitbrains,True
E1,E2,12,svr,302,0.034466155716535794,0.007374519523152841,0.029498078092611364,True,N1 tốt hơn N2,chi Bitbrains,True
E1,E2,12,xgb,302,0.05819565042071695,0.003037881671768583,0.015189408358842915,True,N1 tốt hơn N2,chi Bitbrains,True
E1,E3,1,lr,497,0.2395988072216828,4.368274220857098e-34,1.3104822662571293e-33,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,1,rf,497,-0.04301533005555491,2.0780379312797658e-10,2.0780379312797658e-10,True,N2 tốt hơn N1,Bitbrains->Alibaba,True
E1,E3,1,ridge,497,0.23949476607778397,4.6795697459032665e-34,1.3104822662571293e-33,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,1,svr,497,-0.3205392991560698,7.106013039318238e-83,3.553006519659119e-82,True,N2 tốt hơn N1,Bitbrains->Alibaba,True
E1,E3,1,xgb,497,-0.12000867585011044,9.937346423605807e-50,3.974938569442323e-49,True,N2 tốt hơn N1,Bitbrains->Alibaba,True
E1,E3,6,lr,497,1.0345139237753367,2.3361614384941158e-48,1.162739745424119e-47,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,6,rf,497,0.7702357755787403,4.6312629420567606e-12,9.262525884113521e-12,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,6,ridge,497,1.0345140646313302,2.325479490848238e-48,1.162739745424119e-47,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,6,svr,497,0.7165439799078825,2.0420369815936834e-17,6.12611094478105e-17,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,6,xgb,497,0.7955573913568648,6.105849864286737e-09,6.105849864286737e-09,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,12,lr,497,0.7543413259822769,2.320307067102717e-15,1.1601535335513586e-14,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,12,rf,497,0.6337291062200432,5.588237623434703e-06,1.676471287030411e-05,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,12,ridge,497,0.754341346319265,2.320307067102717e-15,1.1601535335513586e-14,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,12,svr,497,0.4108545788253757,0.013889342538510955,0.013889342538510955,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E1,E3,12,xgb,497,0.5560403808553254,0.005663193639735462,0.011326387279470924,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E1,1,lr,735,0.0335404201700012,3.5285514011071403e-07,1.0585654203321422e-06,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,1,rf,735,0.03580449263372221,1.0766576555766986e-06,1.0766576555766986e-06,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,1,ridge,735,0.033540389489696495,3.5285514011071403e-07,1.0585654203321422e-06,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,1,svr,735,-0.017774320033762392,2.0410456162524501e-41,1.020522808126225e-40,True,N2 tốt hơn N1,chi Bitbrains,True
E2,E1,1,xgb,735,0.015714476972900696,9.515692832243712e-08,3.806277132897485e-07,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,6,lr,735,0.041120187030998796,0.0036409441146930416,0.018204720573465207,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,6,rf,735,0.04123771517488471,0.6063648600089253,0.6063648600089253,False,không khác,chi Bitbrains,True
E2,E1,6,ridge,735,0.041120125718863205,0.0036409441146930416,0.018204720573465207,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,6,svr,735,0.028789550803408497,0.26696544027617286,0.5339308805523457,False,không khác,chi Bitbrains,True
E2,E1,6,xgb,735,0.04196255587719851,0.17170135343725623,0.5151040603117687,False,không khác,chi Bitbrains,True
E2,E1,12,lr,735,0.005241182419719,2.7803063975247003e-05,0.00013901531987623502,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,12,rf,735,0.0186791048354533,0.7939422798546388,0.7939422798546388,False,không khác,chi Bitbrains,True
E2,E1,12,ridge,735,0.005241181970761392,2.7803063975247003e-05,0.00013901531987623502,True,N1 tốt hơn N2,chi Bitbrains,True
E2,E1,12,svr,735,0.020931676260380616,0.09080492483595151,0.18160984967190302,False,không khác,chi Bitbrains,True
E2,E1,12,xgb,735,0.032357997614517395,0.035593459801901726,0.10678037940570517,False,không khác,chi Bitbrains,True
E2,E3,1,lr,497,0.10572647862399887,0.12036633881237059,0.24073267762474118,False,không khác,Bitbrains->Alibaba,True
E2,E3,1,rf,497,-0.1363151375116871,4.211762855162545e-43,1.2635288565487635e-42,True,N2 tốt hơn N1,Bitbrains->Alibaba,True
E2,E3,1,ridge,497,0.10572655082893156,0.12036633881237059,0.24073267762474118,False,không khác,Bitbrains->Alibaba,True
E2,E3,1,svr,497,-0.2555014647397771,4.410697627536701e-79,2.2053488137683506e-78,True,N2 tốt hơn N1,Bitbrains->Alibaba,True
E2,E3,1,xgb,497,-0.17572524692187397,3.5772383913597934e-69,1.4308953565439174e-68,True,N2 tốt hơn N1,Bitbrains->Alibaba,True
E2,E3,6,lr,497,0.6453007535545527,6.7992757503133226e-12,2.0397827250939968e-11,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,6,rf,497,0.6174167885821893,1.2335905497642416e-19,6.167952748821207e-19,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,6,ridge,497,0.6453007839068743,6.7992757503133226e-12,2.0397827250939968e-11,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,6,svr,497,0.3721730817283957,6.67720076926178e-09,6.67720076926178e-09,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,6,xgb,497,0.6285903645828368,8.647948327123726e-18,3.4591793308494904e-17,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,12,lr,497,0.48417665501198837,3.018150380377407e-05,6.036300760754814e-05,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,12,rf,497,0.4881065481137101,4.7912847590174224e-08,1.4373854277052268e-07,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,12,ridge,497,0.48417667096065564,3.018150380377407e-05,6.036300760754814e-05,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,12,svr,497,0.5218470771940007,3.0410528401626724e-20,1.5205264200813363e-19,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E2,E3,12,xgb,497,0.4522869208543341,8.623619794390978e-12,3.449447917756391e-11,True,N1 tốt hơn N2,Bitbrains->Alibaba,True
E3,E1,1,lr,735,0.13624718143510983,0.6159843728802104,1.0,False,không khác,Alibaba->Bitbrains,True
E3,E1,1,rf,735,-0.0634733256842196,5.245877797841267e-44,2.0983511191365067e-43,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,1,ridge,735,0.13285066762096487,0.558141442934448,1.0,False,không khác,Alibaba->Bitbrains,True
E3,E1,1,svr,735,-0.042708080876651566,5.614718706905262e-40,1.6844156120715786e-39,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,1,xgb,735,-6.27080967414541,1.6838866702723257e-97,8.419433351361628e-97,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,6,lr,735,-1.0743969702302547,2.8548624384080767e-117,1.4274312192040382e-116,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,6,rf,735,-0.30365882103901365,4.1715300232058566e-70,4.1715300232058566e-70,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,6,ridge,735,-1.0582110383557533,5.395280947660512e-117,2.158112379064205e-116,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,6,svr,735,-0.4957854228704397,1.7189929066692987e-111,3.437985813338597e-111,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,6,xgb,735,-11.440887312318592,9.557490953257015e-117,2.8672472859771045e-116,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,12,lr,735,-1.679347881496834,1.3366367781219023e-121,6.6831838906095115e-121,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,12,rf,735,-1.9790229850522998,4.553108220781917e-114,9.106216441563834e-114,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,12,ridge,735,-1.6774944340741325,1.3586281572914488e-121,6.6831838906095115e-121,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,12,svr,735,-0.06295112596392508,4.448859201791483e-50,4.448859201791483e-50,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E1,12,xgb,735,-16.650667655579312,1.0239828181422044e-120,3.071948454426613e-120,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E2,1,lr,302,-0.1844932410586403,4.921733125894469e-12,7.308083781003273e-12,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E2,1,rf,302,-0.06801543881292682,5.5191814209633045e-18,2.2076725683853218e-17,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E2,1,ridge,302,-0.1916523020592254,3.6540418905016364e-12,7.308083781003273e-12,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E2,1,svr,302,-0.033371734762279365,1.4711346402192464e-14,4.413403920657739e-14,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
E3,E2,1,xgb,302,-5.011531622758858,3.726110546675189e-42,1.8630552733375945e-41,True,N2 tốt hơn N1,Alibaba->Bitbrains,True
