nguon,dich,mode,h,model,n_chuoi,mae_p50,mae_p50_naive,ti_so_p50,hieu_p50,n_tot_hon_naive,p,p_holm,co_y_nghia,ket_luan
E1,E2,N0,1,lr,302,0.5159256357401791,0.4140311037709882,1.2461035681646555,0.06715999023738498,5,5.888273871477804e-48,8.832410807216707e-47,True,tệ hơn naive
E1,E2,N0,1,rf,302,0.42363043297761094,0.4140311037709882,1.02318504363366,0.005199396587405029,138,0.006458342855117495,0.02583337142046998,True,tệ hơn naive
E1,E2,N0,1,ridge,302,0.516034575225095,0.4140311037709882,1.2463666872490036,0.06752905087588872,5,5.888273871477804e-48,8.832410807216707e-47,True,tệ hơn naive
E1,E2,N0,1,svr,302,0.376087604487788,0.4140311037709882,0.9083559207566498,-0.007407536813422447,177,0.662689172955639,1.0,False,không khác
E1,E2,N0,1,xgb,302,0.4463919726033004,0.4140311037709882,1.0781604776490703,0.007435074205098757,126,4.700819797065014e-05,0.0004230737817358513,True,tệ hơn naive
E1,E2,N0,6,lr,302,0.7085551811807178,0.48079877112135183,1.4737042266729943,0.2689457731302393,23,9.055805207012526e-36,9.055805207012526e-35,True,tệ hơn naive
E1,E2,N0,6,rf,302,0.5979106114437589,0.48079877112135183,1.2435776615012364,0.027675845032914544,125,6.125942836591409e-07,4.288159985613986e-06,True,tệ hơn naive
E1,E2,N0,6,ridge,302,0.7085551807906604,0.48079877112135183,1.4737042258617248,0.2689457962132942,23,9.055805207012526e-36,9.055805207012526e-35,True,tệ hơn naive
E1,E2,N0,6,svr,302,0.39608277555377386,0.48079877112135183,0.82380155554475,-0.02676735446089465,199,0.004632500691347988,0.02779500414808793,True,tốt hơn naive
E1,E2,N0,6,xgb,302,0.6137498219741354,0.48079877112135183,1.27652119522416,0.025760225711330298,107,2.1492802204937126e-08,1.71942417639497e-07,True,tệ hơn naive
E1,E2,N0,12,lr,302,0.9477934036916034,0.46491826581378815,2.0386237181552667,0.49385366527074226,21,2.3859047373835576e-38,2.6244952111219134e-37,True,tệ hơn naive
E1,E2,N0,12,rf,302,0.679749856666776,0.46491826581378815,1.4620846429359984,0.07050847752940287,63,3.654631379801204e-19,2.558241965860843e-18,True,tệ hơn naive
E1,E2,N0,12,ridge,302,0.9477933793608636,0.46491826581378815,2.038623665821896,0.49385368674364216,21,2.3859047373835576e-38,2.6244952111219134e-37,True,tệ hơn naive
E1,E2,N0,12,svr,302,0.40230348618633927,0.46491826581378815,0.8653208870642055,-0.0015005021990352058,151,0.8892479584778806,1.0,False,không khác
E1,E2,N0,12,xgb,302,0.6762410056328385,0.46491826581378815,1.454537400136674,0.08374827768756907,56,4.2226214715765555e-21,3.3780971772612444e-20,True,tệ hơn naive
E1,E2,N1,1,lr,302,0.4059527688150857,0.4140311037709882,0.9804885795237963,-0.0036804481354612353,157,0.0004397933186651919,0.003518346549321535,True,tốt hơn naive
E1,E2,N1,1,rf,302,0.35858502188924246,0.4140311037709882,0.8660823272050245,-0.010271059854722556,175,0.525398228341591,1.0,False,không khác
